author,detail_url,isbn,pages,price,pub_date,publisher,quote,rating,rating_num,series,title
斯塔夫里阿诺斯 / 吴象婴 / 梁赤民 / 董书慧 / 王昶,https://book.douban.com/subject/10583099/,9787301204689, 833,168.00元,2012-2-1,北京大学出版社,None,9.0,25453人,,全球通史
李光耀,https://book.douban.com/subject/26413154/,9787301257517, 299,58.00元,2015-6,北京大学出版社,None,9.2,18539人,,李光耀观天下
[南非] 特雷弗·诺亚 / 董帅,https://book.douban.com/subject/30125030/,9787559614056, 304,58.00,2018-2-1,北京联合出版公司,None,9.1,24609人,,天生有罪
[挪威] 乔斯坦·贾德,https://book.douban.com/subject/2284311/,9787506341271, 528,26.00元,2007-10,作家出版社,哲学启蒙书,8.8,63617人,,苏菲的世界
[美] 沃尔特·艾萨克森,https://book.douban.com/subject/6798611/,9787508630069, 560,68.00元,2011-10-24,中信出版社,完美主义者的最高形态,8.8,64711人,,史蒂夫·乔布斯传
[美] 艾·弗洛姆 / 李健鸣,https://book.douban.com/subject/3026879/,9787532745159, 144,15.00元,2008-4,上海译文出版社,谦恭地、勇敢地、真诚地和有纪律地爱他人,8.8,56037人,,爱的艺术
[奥] 斯蒂芬·茨威格,https://book.douban.com/subject/2154960/,9787532741571, 340,20.00元,2007-7,上海译文出版社,暗恋的极致,8.7,155201人,,一个陌生女人的来信
丁君君 / 谢莹莹,https://book.douban.com/subject/3578470/,9787208081550, 193,25.00元,2009-3,上海人民出版社,少年辛克莱寻找通向自身之路的艰辛历程,8.9,44817人,,德米安
曹文轩,https://book.douban.com/subject/1052990/,9787534618727, 296,18.00元,2009-6,江苏少年儿童出版社,男孩桑桑刻骨铭心、终身难忘的六年小学生活,9.0,61959人,,草房子
三毛,https://book.douban.com/subject/2068249/,9787530208915, 294,28.00元,2007-5,北京十月文艺出版社,三毛在加纳利群岛的生活,9.1,25476人,,温柔的夜
[白俄] S·A·阿列克谢耶维奇 / 方祖芳 / 郭成业,https://book.douban.com/subject/25884880/,9787536071377, 280,34.80元,2014-6-15,花城出版社,真实记录切尔诺贝利核灾难事件,9.2,21732人,,我不知道该说什么，关于死亡还是爱情
田余庆,https://book.douban.com/subject/10758290/,9787301204351, 348,49.00元,2012-5,北京大学出版社,None,9.5,17437人,,东晋门阀政治
錢穆,https://book.douban.com/subject/1046492/,9787100017664, 914,76.00元,2013-8,商务印书馆,钱穆中国通史,9.4,17658人,,國史大綱（上下）
[美]乔治·R.R.马丁 / 谭光磊 / 屈畅 / 胡绍晏,https://book.douban.com/subject/25826936/,9787223361835, 全五册,330.00元,2013-10-1,重庆出版社,乔治·R·R·马丁史诗奇幻小说,9.5,21651人,,冰与火之歌
[美] 保罗·卡拉尼什 / Paul Kalanithi / 何雨珈,https://book.douban.com/subject/26896859/,9787533946562, 256,48.00元,2016-11,浙江文艺出版社,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气,8.9,34186人,,当呼吸化为空气
[美] 艾萨克·阿西莫夫 / 叶李华,https://book.douban.com/subject/26389895/,9787539983356, 2888,328.00元,2015-10-1,江苏凤凰文艺出版社,阿西莫夫经典科幻小说,9.5,19087人,,银河帝国：基地七部曲
吴晓波,https://book.douban.com/subject/1970428/,9787508607719, 297,35.00,2007-1,中信出版社,这是一个最好的时代，也是一个最坏的时代,8.8,33606人,,激荡三十年（上）
余华,https://book.douban.com/subject/20421947/,9787506365604, 283,25.00元,2012-11-1,作家出版社,None,8.8,90920人,,在细雨中呼喊
[美] 安迪·威尔 / 耿辉,https://book.douban.com/subject/35494160/,9787544787352, 493,68.00,2021-9,译林出版社,None,9.1,16870人,,挽救计划
[日本] 上野千鹤子 / 田房永子 / 吕灵芝,https://book.douban.com/subject/35523099/,9787559652317, 192,52.00元,2021-9,北京联合出版公司,None,8.7,78248人,,从零开始的女性主义
李硕,https://book.douban.com/subject/36096304/,9787559852533, 592,99.00元,2022-10,广西师范大学出版社,None,8.9,37898人,,翦商
林达,https://book.douban.com/subject/1014825/,9787108012715, 428,25.00元,2004-08,生活·读书·新知三联书店,在法治国家里，民众怎样运用法律,9.0,16893人,,我也有一个梦想
[哥伦比亚] 加西亚·马尔克斯 / 魏然,https://book.douban.com/subject/24382569/,9787544266123, 128,25.00元,2013-6,南海出版公司,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯,8.7,63827人,,一桩事先张扬的凶杀案
[苏] 安德烈·塔可夫斯基 / 张晓东,https://book.douban.com/subject/26435510/,9787544278591, 263,45.00元,2016-5,南海出版公司,None,9.4,11271人,,雕刻时光
[日] 上野千鹤子 / 邹韵 / 薛梅,https://book.douban.com/subject/34896921/,9787308197380, 281,58.00元,2020-3,浙江大学出版社,None,9.2,21740人,,父权制与资本主义
[日] 清水洁 / 曾玉婷,https://book.douban.com/subject/35776315/,9787549637317, 315,49.00元,2022-7,文汇出版社,None,9.0,30366人,,足利女童连续失踪事件
[美] 戴维·迈尔斯 / 张智勇 / 乐国安 / 侯玉波 等,https://book.douban.com/subject/1476651/,9787115138804, 504,68.00元,2006-1,人民邮电出版社,人们是如何思索、影响他人并与他人建立联系的,9.0,28991人,,社会心理学
[美] 欧·亨利,https://book.douban.com/subject/1051193/,9787806812297, 354,25.00元,2003-7,上海社会科学院出版社,日常的奇迹,8.7,79704人,,麦琪的礼物
福楼拜 / 李健吾,https://book.douban.com/subject/25897678/,9787020104499, 302,CNY 28.00,2003-1-1,人民文学出版社,None,9.1,34005人,,包法利夫人
